-0.276,-0.198,0.750
0.220,-0.075,0.500
-0.333,-0.536,1.000
-0.494,-0.005,1.000
0.081,-0.231,0.500
-0.146,-0.005,0.500
0.268,0.178,0.750
-0.228,0.228,0.750
-0.204,0.303,0.750
-0.204,0.034,0.500
0.038,0.483,1.000
0.058,0.239,0.500
0.020,-0.062,0.250
0.054,-0.082,0.250
-0.148,-0.446,0.750
0.706,0.077,1.000
-0.293,-0.249,0.750
-0.465,-0.173,1.000
-0.374,-0.039,0.750
0.101,0.006,0.250
-0.072,-0.385,0.750
-0.012,0.125,0.500
-0.105,-0.471,1.000
-0.201,0.212,0.750
-0.191,0.038,0.500
0.293,0.306,1.000
0.441,0.302,1.000
-0.142,0.033,0.500
0.311,-0.229,0.750
-0.011,0.233,0.500
0.108,0.186,0.500
0.490,-0.207,1.000
-0.326,0.376,1.000
-0.351,-0.017,0.750
0.080,0.200,0.500
0.089,0.324,0.750
-0.021,-0.037,0.250
0.204,0.400,1.000
-0.196,-0.063,0.500
-0.241,0.053,0.500
-0.444,-0.365,1.000
-0.002,-0.170,0.500
0.055,-0.057,0.250
-0.178,0.406,0.750
0.109,-0.437,1.000
-0.229,0.092,0.500
-0.388,-0.003,1.000
-0.239,0.308,0.750
-0.358,-0.194,0.750
-0.411,0.233,1.000
0.063,0.201,0.500
0.517,-0.276,1.000
-0.095,0.266,0.750
-0.237,0.165,0.750
-0.041,-0.092,0.250
-0.139,-0.247,0.750
-0.032,-0.104,0.250
0.052,0.003,0.250
0.128,-0.114,0.500
-0.444,-0.116,1.000
-0.243,0.639,1.000
0.132,-0.005,0.500
-0.216,0.607,1.000
-0.215,-0.155,0.750
0.052,0.241,0.500
-0.429,-0.129,1.000
-0.385,-0.252,1.000
0.040,0.010,0.250
-0.101,0.040,0.250
-0.414,-0.520,1.000
-0.167,0.490,1.000
-0.396,0.196,1.000
0.183,0.226,0.750
0.421,0.001,0.750
-0.093,-0.131,0.500
0.297,-0.295,1.000
0.052,-0.242,0.500
0.060,-0.134,0.500
-0.090,0.053,0.250
-0.114,-0.076,0.500
0.146,-0.312,0.750
0.263,-0.266,0.750
0.415,0.126,0.750
0.022,0.009,0.250
-0.125,-0.039,0.250
-0.083,0.227,0.500
0.068,0.113,0.500
-0.354,0.202,0.750
-0.021,-0.271,0.500
0.204,-0.283,0.750
0.258,0.174,0.750
-0.114,-0.129,0.500
-0.292,0.058,0.750
-0.042,0.126,0.500
0.139,-0.441,1.000
-0.256,0.202,0.750
-0.495,-0.161,1.000
-0.159,-0.252,0.750
-0.413,0.170,1.000
-0.434,0.339,1.000
0.049,-0.184,0.500
0.525,0.014,1.000
0.048,-0.129,0.250
0.024,-0.305,0.750
0.028,0.317,0.750
0.143,-0.040,0.500
0.602,-0.222,1.000
-0.495,-0.853,1.000
0.053,-0.015,0.250
0.314,-0.301,1.000
0.129,0.182,0.500
0.245,0.005,0.750
0.545,0.191,1.000
0.384,-0.107,0.750
-0.312,0.171,0.750
0.533,0.228,1.000
0.035,-0.293,0.500
0.331,-0.311,1.000
-0.313,0.099,0.750
0.085,-0.416,1.000
0.057,0.415,1.000
0.242,-0.381,1.000
0.172,0.310,0.750
0.020,0.055,0.250
-0.151,0.364,0.750
-0.261,0.130,0.750
0.573,-0.010,1.000
0.387,-0.112,1.000
-0.400,0.025,1.000
0.047,0.391,0.750
-0.059,-0.436,0.750
0.128,0.121,0.500
-0.057,-0.073,0.250
-0.178,0.104,0.500
0.034,-0.212,0.500
-0.024,-0.270,0.500
0.077,-0.037,0.250
0.083,0.397,0.750
0.143,0.434,1.000
0.094,0.089,0.500
-0.014,0.435,1.000
-0.107,0.149,0.500
-0.016,0.377,0.750
0.443,0.287,1.000
0.070,0.080,0.250
0.102,0.254,0.500
-0.107,-0.016,0.250
-0.134,-0.072,0.500
0.015,-0.140,0.250
0.010,-0.407,0.750
-0.002,-0.116,0.250
0.078,0.023,0.250
0.559,-0.023,1.000
-0.322,-0.751,1.000
-0.021,0.035,0.250
-0.295,-0.114,0.750
0.122,0.462,1.000
0.322,0.075,0.750
-0.217,-0.072,0.500
-0.198,0.068,0.500
0.078,-0.400,0.750
-0.389,0.343,1.000
-0.011,0.310,0.750
0.273,0.141,0.750
0.174,0.441,1.000
0.055,-0.114,0.250
0.139,-0.202,0.500
0.267,-0.379,1.000
0.108,-0.078,0.500
-0.292,0.015,0.750
0.459,-0.248,1.000
0.284,-0.054,0.750
-0.397,0.374,1.000
-0.439,0.807,1.000
0.038,-0.338,0.750
0.154,-0.468,1.000
0.322,0.101,0.750
-0.197,-0.452,1.000
-0.386,0.790,1.000
0.171,0.303,0.750
-0.363,-0.706,1.000
-0.282,-0.017,0.750
0.057,0.088,0.250
0.146,-0.336,0.750
-0.360,-0.712,1.000
0.065,0.034,0.250
-0.025,0.102,0.250
-0.309,-0.531,1.000
0.201,0.312,0.750
0.352,0.305,1.000
0.037,-0.015,0.250
-0.058,-0.187,0.500
0.212,-0.095,0.500
0.223,-0.041,0.500
0.176,-0.399,1.000
-0.096,0.414,0.750
-0.025,-0.241,0.500
0.098,0.135,0.500
-0.371,0.626,1.000
0.214,-0.326,0.750
-0.195,0.233,0.750
0.017,-0.091,0.250
0.143,0.367,0.750
0.264,0.312,1.000
-0.027,0.207,0.500
0.030,-0.027,0.250
0.192,-0.183,0.750
0.033,-0.148,0.500
-0.284,-0.035,0.750
-0.435,-0.109,1.000
0.003,-0.069,0.250
-0.136,0.158,0.500
0.035,0.301,0.750
0.222,-0.214,0.750
0.115,0.018,0.250
0.437,0.133,1.000
0.235,-0.096,0.750
-0.432,0.035,1.000
-0.142,-0.002,0.500
-0.283,-0.408,1.000
0.031,0.521,1.000
-0.443,0.295,1.000
0.071,0.248,0.500
-0.089,0.083,0.250
0.372,-0.091,0.750
0.816,-0.057,1.000
-0.073,-0.013,0.250
0.105,-0.085,0.500
0.169,0.190,0.500
-0.244,0.041,0.500
-0.084,-0.055,0.250
-0.273,0.063,0.750
0.468,0.172,1.000
-0.231,0.591,1.000
-0.249,-0.425,1.000
0.134,0.053,0.500
0.096,-0.097,0.500
0.394,0.284,1.000
-0.125,-0.094,0.500
0.015,-0.165,0.500
0.110,0.331,0.750
-0.442,0.335,1.000
-0.165,-0.249,0.750
0.013,0.124,0.250
0.096,-0.003,0.250
0.045,-0.062,0.250
0.251,0.314,1.000
0.265,-0.216,0.750
0.186,0.231,0.750
-0.220,-0.039,0.500
-0.483,-0.063,1.000
0.186,0.140,0.500
-0.302,-0.062,0.750
-0.058,-0.396,0.750
-0.408,0.163,1.000
-0.200,-0.569,1.000
-0.300,0.233,0.750
0.229,-0.133,0.750
-0.123,-0.174,0.500
-0.191,-0.213,0.750
0.244,0.077,0.750
0.467,0.290,1.000
-0.090,-0.021,0.250
-0.412,-0.425,1.000
0.311,0.306,1.000
-0.020,-0.361,0.750
-0.468,-0.692,1.000
0.169,-0.183,0.500
0.283,-0.168,0.750
-0.286,0.552,1.000
0.183,-0.054,0.500
0.115,-0.368,0.750
-0.114,0.234,0.750
-0.067,0.138,0.500
0.038,0.545,1.000
0.128,-0.270,0.750
-0.063,0.043,0.250
-0.324,-0.080,0.750
-0.077,0.003,0.250
0.077,0.264,0.500
-0.274,-0.362,0.750
-0.371,-0.151,1.000
0.311,0.336,1.000
0.068,0.091,0.250
-0.426,-0.335,1.000
-0.109,-0.020,0.250
-0.266,-0.352,0.750
-0.192,0.216,0.750
0.313,-0.259,1.000
0.100,0.305,0.750
0.209,-0.306,0.750
-0.132,0.026,0.250
-0.073,0.053,0.250
-0.049,-0.419,0.750
0.109,-0.347,0.750
0.035,0.054,0.250
-0.349,0.169,0.750
0.141,0.226,0.500
-0.107,0.508,1.000
-0.456,-0.006,1.000
-0.108,0.073,0.250
-0.378,0.441,1.000
